date,open,close,high,low,volume
2022-04-20,188.6598680264,190.3,193.4412477505,188.4402639472,3494318.0
2022-04-19,181.9519616077,188.78,189.2088782244,181.7223755249,2775237.0
2022-04-18,178.9074505099,183.15,184.6171565687,178.9074505099,2961141.0
2022-04-14,175.8829034193,180.51,181.1933293341,175.8829034193,3631673.0
2022-04-13,163.8645710858,175.54,175.9328134373,163.7148410318,3343813.0
2022-04-12,164.3337252549,163.24,165.6613317337,161.9879544091,1549813.0
2022-04-11,161.6685302939,162.45,165.2620515897,161.369070186,1402520.0
2022-04-08,163.3155608878,163.86,165.0125014997,162.1077384523,1522384.0
2022-04-07,165.2820155969,164.66,166.3201439712,162.0678104379,2608678.0
2022-04-06,171.4508938212,166.17,171.4508938212,165.3219436113,2180145.0
2022-04-05,174.096124775,174.0,176.2921655669,171.6904619076,1543812.0
2022-04-04,173.0579964007,174.65,174.7249910018,171.3111457708,1394902.0
2022-04-01,176.6016076785,173.68,178.058980204,172.2993641272,1900406.0
2022-03-31,176.8711217756,175.75,178.9773245351,175.4037672466,2368859.0
2022-03-30,177.2204919016,176.45,178.7976484703,175.0843431314,2285208.0
2022-03-29,173.9264307139,178.32,178.6479184163,173.7866826635,2201137.0
2022-03-28,171.7902819436,171.56,172.2594361128,168.8356088782,1215627.0
2022-03-25,171.6904619076,171.52,173.3774205159,170.4427114577,1420123.0
2022-03-24,168.6958608278,171.98,171.680479904,166.8971037792,1795794.0
2022-03-23,169.1051229754,167.65,170.6722975405,166.89910018,2709050.0
2022-03-22,171.3610557888,170.57,172.5688782244,169.6740971806,1997521.0
2022-03-21,169.6441511698,169.95,169.9181571686,167.5479304139,1731637.0
2022-03-18,169.9535932813,171.19,173.1278704259,167.3482903419,3490623.0
2022-03-17,170.0234673065,171.24,170.9418116377,167.8274265147,1582325.0
2022-03-16,167.8873185363,172.29,172.1895620876,166.7294061188,2300310.0
2022-03-15,163.634985003,166.4,167.0288662268,163.3554889022,2297297.0
2022-03-14,161.9779724055,161.76,163.834625075,159.8218596281,1917647.0
2022-03-11,164.0542291542,161.64,165.2321055789,161.0097180564,2316271.0
2022-03-10,156.2682663467,162.56,163.9244631074,155.7691661668,2573293.0
2022-03-09,157.9152969406,159.47,162.2624595081,157.456124775,3509843.0
